id,title,collection_name
862,Toy Story,['Toy Story Collection']
15602,Grumpier Old Men,['Grumpy Old Men Collection']
11862,Father of the Bride Part II,['Father of the Bride Collection']
710,GoldenEye,['James Bond Collection']
21032,Balto,['Balto Collection']
9273,Ace Ventura: When Nature Calls,['Ace Ventura Collection']
8012,Get Shorty,['Chili Palmer Collection']
9598,Babe,['Babe Collection']
9312,Mortal Kombat,['Mortal Kombat Collection']
10530,Pocahontas,['Pocahontas Collection']
11525,Lawnmower Man 2: Beyond Cyberspace,['The Lawnmower Man Collection']
10634,Friday,['Friday Collection']
755,From Dusk Till Dawn,['From Dusk Till Dawn Collection']
9102,Screamers,['Screamers Collection']
10874,Muppet Treasure Island,['The Muppet Collection']
27793,The Neverending Story III: Escape from Fantasia,['The Neverending Story Collection']
9737,Bad Boys,['Bad Boys Collection']
414,Batman Forever,['Batman Collection']
5894,Blue in the Face,['Brooklyn Cigar Store Collection']
8839,Casper,['Casper Collection']
8068,Desperado,['Mexico Trilogy']
1572,Die Hard: With a Vengeance,['Die Hard Collection']
13552,The Doom Generation,['Teenage Apocalypse Trilogy']
9073,Free Willy 2 - The Adventure Home,['Free Willy Collection']
9070,Mighty Morphin Power Rangers: The Movie,['Power Rangers Collection']
1642,The Net,['Síť (kolekce)']
11980,The Prophecy,['The Prophecy Collection']
10802,Showgirls,['Showgirls Collection']
10149,Smoke,['Brooklyn Cigar Store Collection']
9348,Species,['Species Collection']
3512,Under Siege 2: Dark Territory,['Under Siege Collection']
50797,Burnt by the Sun,['Burnt by the Sun Trilogy']
76,Before Sunrise,['Before... Collection']
2292,Clerks,['Clerks Collection']
8467,Dumb and Dumber,['Dumb and Dumber Collection']
15789,A Goofy Movie,['A Goofy Movie Collection']
628,Interview with the Vampire,['The Vampire Chronicles']
11,Star Wars,['Star Wars Collection']
63105,Nemesis 2 - Nebula,['Nemesis Collection']
527,Once Were Warriors,['Once were Warriors Collection']
18220,Poison Ivy II: Lily,['Poison Ivy Collection']
110,Three Colors: Red,['Three Colors Collection']
108,Three Colors: Blue,['Three Colors Collection']
109,Three Colors: White,['Three Colors Collection']
22586,The Swan Princess,['Swan Princess Series']
11395,The Santa Clause,['The Santa Clause Collection']
9059,Tales from the Crypt: Demon Knight,['Tales from the Crypt Collection']
193,Star Trek: Generations,['Star Trek: The Next Generation Collection']
3049,Ace Ventura: Pet Detective,['Ace Ventura Collection']
9331,Clear and Present Danger,['The Jack Ryan Collection']
9495,The Crow,['The Crow Collection']
888,The Flintstones,['The Flintstones (Live-Action) Collection']
8587,The Lion King,['The Lion King Collection']
11596,New Nightmare,['A Nightmare on Elm Street Collection']
854,The Mask,['The Mask Collection']
36593,The Naked Gun 33⅓: The Final Insult,['Naked Gun Collection']
11011,Ri¢hie Ri¢h,['Richie Rich Collection']
1637,Speed,['Speed Collection']
8831,Timecop,['Timecop Collection']
11667,Street Fighter,['Street Fighter']
75555,The Fear,['Fear Collection']
8011,Highlander: The Final Dimension,['Highlander Collection']
2758,Addams Family Values,['Addams Family Collection']
9409,Another Stakeout,['Stakeout Collection']
306,Beverly Hills Cop III,['Beverly Hills Cop Collection']
11310,City Slickers II: The Legend of Curly's Gold,['City Slickers Collection']
24257,The Endless Summer 2,['The Endless Summer Collection']
1634,Free Willy,['Free Willy Collection']
5503,The Fugitive,['The Fugitive / U.S. Marshals Collection']
2019,Hard Target,['Hard Target Collection']
9255,Hot Shots! Part Deux,['Hot Shots! Collection']
16097,House Party 3,['House Party Collection']
329,Jurassic Park,['Jurassic Park Collection']
11231,The Next Karate Kid,['The Karate Kid Collection']
5550,RoboCop 3,['RoboCop Collection']
11236,The Secret Garden,['The Secret Garden Collection']
8850,The Shadow,['The Shadow Collection']
78,Blade Runner,['Blade Runner Collection']
9066,The Brady Bunch Movie,['The Brady Bunch Collection']
771,Home Alone,['Home Alone Collection']
812,Aladdin,['Aladdin Collection']
280,Terminator 2: Judgment Day,['The Terminator Collection']
268,Batman,['Batman Collection']
274,The Silence of the Lambs,['The Hannibal Lecter Anthology']
10020,Beauty and the Beast,['Beauty and the Beast Collection']
10824,Candyman: Farewell to the Flesh,['Candyman Collection']
25059,Homeward Bound II: Lost in San Francisco,['Homeward Bound Collection']
11827,Heavy Metal,['Heavy Metal Collection']
8766,Hellraiser: Bloodline,['Hellraiser Collection']
19042,All Dogs Go to Heaven 2,['All Dogs Go to Heaven Collection']
954,Mission: Impossible,['Mission: Impossible Collection']
8840,DragonHeart,['DragonHeart Collection']
25087,Bloodsport II,['Bloodsport Collection']
5801,Pather Panchali,['The Apu Collection']
896,The World of Apu,['The Apu Collection']
8072,Alphaville,['Lemmy Caution Collection']
20762,The Substitute,['The Substitute Collection']
11687,The Visitors,['The Visitors Collection']
9323,Ghost in the Shell,['Ghost in the Shell Collection']
532,A Close Shave,['Wallace & Gromit Collection']
10547,The Arrival,['The Arrival Collection']
77771,Touki Bouki,"['Martin Scorsese’s World Cinema Project, Vol. 1']"
627,Trainspotting,['Trainspotting Collection']
602,Independence Day,['Independence Day Collection']
10545,The Hunchback of Notre Dame,['The Hunchback of Notre Dame Collection']
9327,The Nutty Professor,['The Nutty Professor Collection']
12606,A Very Brady Sequel,['The Brady Bunch Collection']
10546,The Crow: City of Angels,['The Crow Collection']
9431,Bordello of Blood,['Tales from the Crypt Collection']
10061,Escape from L.A.,['Escape From ... Collection']
238,The Godfather,['The Godfather Collection']
11134,Police Story 3: Supercop,['Police Story Collection']
38955,Project S,['Police Story Collection']
19004,The Land Before Time III: The Time of the Great Giving,['The Land Before Time Collection']
10987,Halloween: The Curse of Michael Myers,['Halloween Collection']
62,2001: A Space Odyssey,['The Space Odyssey Series']
3529,The Thin Man,['The Thin Man Collection']
10331,Night of the Living Dead,['Living Dead Collection']
39448,"Yes, Madam",['In the Line of Duty Collection']
10680,D3: The Mighty Ducks,['The Mighty Ducks Collection']
18660,The Apple Dumpling Gang,['The Apple Dumpling Gang Collection']
35115,"Davy Crockett, King of the Wild Frontier",['Davy Crockett Collection']
14821,Escape to Witch Mountain,['Witch Mountain Collection']
14136,The Love Bug,['Herbie Collection']
10869,Herbie Rides Again,['Herbie Collection']
