id,title,movie_genres
949,Heat,"['Action', 'Crime', 'Drama', 'Thriller']"
45325,Tom and Huck,"['Action', 'Adventure', 'Drama', 'Family']"
4584,Sense and Sensibility,"['Drama', 'Romance']"
78802,Wings of Courage,"['Romance', 'Adventure']"
47018,Carrington,"['History', 'Drama', 'Romance']"
139405,Across the Sea of Time,"['Adventure', 'History', 'Drama', 'Family']"
117164,Guardian Angel,"['Action', 'Thriller', 'Drama']"
49133,Lamerica,"['Drama', 'Foreign']"
97406,Georgia,['Drama']
124057,Kids of the Round Table,[]
99040,The Confessional,"['Thriller', 'Drama', 'Mystery']"
48750,Les Miserables,"['Drama', 'History']"
20927,Bed of Roses,"['Drama', 'Romance']"
124626,Nico Icon,['Documentary']
27526,The Crossing Guard,"['Drama', 'Thriller']"
46785,The White Balloon,"['Family', 'Drama']"
400,Things to Do in Denver When You're Dead,"['Drama', 'Crime']"
146599,Once Upon a Time... When We Were Colored,"['Romance', 'Drama']"
188588,Last Summer in the Hamptons,[]
61548,The Journey of August King,['Drama']
45549,Shopping,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']"
63076,Heidi Fleiss: Hollywood Madam,['Documentary']
47475,Mr. Wrong,"['Comedy', 'Romance']"
89333,Catwalk,['Documentary']
96357,Headless Body in Topless Bar,['Crime']
71754,Margaret's Museum,['Drama']
51352,Anne Frank Remembered,"['Documentary', 'Drama', 'Foreign']"
78406,Steal Big Steal Little,"['Comedy', 'Drama']"
55731,Race the Sun,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']"
37975,The Star Maker,"['Drama', 'Romance']"
290157,Jupiter's Wife,[]
110972,Pie in the Sky,"['Comedy', 'Romance']"
73067,Frankie Starlight,"['Drama', 'Romance', 'War']"
55475,Nueba Yol,"['Comedy', 'Drama', 'Romance']"
124636,Sonic Outlaws,"['Music', 'Documentary']"
123360,From the Journals of Jean Seberg,['Documentary']
124639,Target,[]
249882,Virgin Mary,['Drama']
259209,Feast of July,"['Drama', 'Crime']"
47608,Mad Love,"['Drama', 'Family', 'Romance']"
68274,Moonlight and Valentino,"['Comedy', 'Drama', 'Romance']"
48787,Mute Witness,"['Thriller', 'Foreign']"
58372,Reckless,"['Fantasy', 'Comedy', 'Drama']"
139408,The Stars Fell on Henrietta,['Drama']
79593,The Tie That Binds,['Thriller']
47939,Three Wishes,"['Drama', 'Fantasy']"
52856,Unstrung Heroes,"['Comedy', 'Drama', 'Family']"
77350,Unzipped,['Documentary']
65796,Wild Bill,"['Action', 'Western']"
49805,The Browning Version,['Drama']
50797,Burnt by the Sun,['Drama']
22625,Circle of Friends,"['Drama', 'Family', 'Romance']"
61813,Dream Man,['Thriller']
62488,Destiny Turns on the Radio,"['Crime', 'Comedy', 'Fantasy']"
397,French Kiss,"['Comedy', 'Romance']"
15789,A Goofy Movie,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']"
47867,Gordy,"['Drama', 'Family', 'Fantasy']"
72031,The Glass Shield,"['Drama', 'Action', 'Thriller', 'Crime']"
87729,Jefferson in Paris,"['Drama', 'Romance']"
49980,Ladybird Ladybird,['Drama']
47504,Little Odessa,"['Action', 'Drama']"
109560,New York Cop,"['Action', 'Thriller', 'Crime', 'Drama']"
56428,Beyond Bedlam,['Horror']
63105,Nemesis 2 - Nebula,"['Science Fiction', 'Action', 'Thriller']"
131957,Nina Takes a Lover,"['Drama', 'Romance']"
18220,Poison Ivy II: Lily,"['Drama', 'Romance', 'Thriller']"
63020,The Perez Family,"['Comedy', 'Drama', 'Romance']"
25296,Pushing Hands,"['Comedy', 'Drama']"
161495,Roommates,"['Drama', 'Comedy']"
159185,"Red Firecracker, Green Firecracker",['Drama']
92769,Relative Fear,"['Horror', 'Drama']"
87078,Suture,"['Drama', 'Thriller']"
46797,Tom & Viv,"['Drama', 'Romance']"
95963,The Walking Dead,"['Drama', 'War']"
60855,Double Happiness,"['Comedy', 'Romance']"
48287,The Baby-Sitters Club,"['Comedy', 'Drama', 'Family']"
48992,I Like It Like That,"['Comedy', 'Drama', 'Romance']"
49803,Safe Passage,['Drama']
52038,A Man of No Importance,"['Comedy', 'Drama']"
267188,Desert Winds,[]
75555,The Fear,"['Horror', 'Thriller']"
278939,Girl in the Cadillac,"['Romance', 'Adventure', 'Crime', 'Drama']"
291731,Homage,"['Thriller', 'Drama']"
226229,Mirage,"['Action', 'Thriller']"
203119,Open Season,['Comedy']
172923,Dos Crímenes,[]
316098,Brother Minister: The Assassination of Malcolm X,['Documentary']
171857,Federal Hill,[]
46094,The Air Up There,"['Comedy', 'Family']"
46924,Being Human,"['Drama', 'Comedy', 'Fantasy']"
57834,Blue Sky,"['Drama', 'Romance']"
117553,Calendar Girl,"['Drama', 'Comedy']"
49299,Dangerous Game,['Drama']
50463,The Favor,"['Drama', 'Comedy', 'Romance']"
106143,I'll Do Anything,"['Comedy', 'Drama']"
59930,The Inkwell,"['Comedy', 'Drama', 'Romance']"
10502,The Man without a Face,['Drama']
83718,What Happened Was...,"['Thriller', 'Comedy', 'Drama', 'Romance']"
47889,Ruby in Paradise,"['Drama', 'Romance']"
56583,The Saint of Fort Washington,['Drama']
103413,Second Best,['Drama']
11236,The Secret Garden,"['Drama', 'Family', 'Fantasy']"
161158,"Paris, France","['Drama', 'Comedy']"
218473,"The Beans of Egypt, Maine",[]
85247,Killer,"['Thriller', 'Drama', 'Romance']"
51980,Germinal,"['Drama', 'Romance']"
53185,Wide Eyed and Legless,"['TV Movie', 'Drama', 'Romance', 'Comedy']"
95743,Foreign Student,"['Drama', 'Romance']"
349394,À la mode,['Comedy']
68806,The Escort,"['Thriller', 'Crime', 'Drama']"
47507,Café au Lait,"['Drama', 'Comedy', 'Romance', 'Foreign']"
124304,I Don't Want to Talk About It,"['Romance', 'Drama']"
80350,Tough and Deadly,"['Thriller', 'Action', 'Drama']"
59146,The Wooden Man's Bride,"['Drama', 'Foreign', 'Romance']"
124472,A Great Day in Harlem,[]
261246,Century,"['Romance', 'Drama']"
47333,Jane Eyre,"['Drama', 'Romance']"
54850,Loaded,"['Drama', 'Mystery', 'Thriller']"
51242,Bread and Chocolate,"['Comedy', 'Foreign']"
46029,Two Much,"['Comedy', 'Romance']"
88893,Scream of Stone,"['Adventure', 'Drama', 'Documentary']"
52873,My Favorite Season,['Drama']
123505,A Modern Affair,[]
340210,Condition Red,"['Thriller', 'Action', 'Drama']"
166901,Rude,[]
36447,Carried Away,"['Drama', 'Romance']"
